route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
01,2,1925540,Kipps Lane via Wellington & Dundas,,1,93717,68497,0,0
01,2,1925545,Kipps Lane via Wellington & Dundas,,1,93713,68498,0,0
01,2,1925541,Kipps Lane via Wellington & Dundas,,1,93712,68497,0,0
01,2,1925549,Kipps Lane via Wellington & Dundas,,1,93711,68498,0,0
01,2,1925563,Pond Mills & Thompson Only,,1,93719,68499,0,0
01,2,1925556,Kipps Lane via Wellington & Dundas,,1,93716,68497,0,0
01,2,1925550,Kipps Lane via Wellington & Dundas,,1,93717,68498,0,0
01,2,1925557,Kipps Lane via Wellington & Dundas,,1,93713,68497,0,0
01,2,1925551,Kipps Lane via Wellington & Dundas,,1,93712,68498,0,0
01,2,1925558,Kipps Lane via Wellington & Dundas,,1,93711,68497,0,0
01,2,1925552,Kipps Lane via Wellington & Dundas,,1,93716,68498,0,0
01,2,1925559,Kipps Lane via Wellington & Dundas,,1,93717,68497,0,0
01,2,1925553,Kipps Lane via Wellington & Dundas,,1,93713,68498,0,0
01,2,1925560,Kipps Lane via Wellington & Dundas,,1,93712,68497,0,0
01,2,1925554,Kipps Lane via Wellington & Dundas,,1,93711,68498,0,0
01,2,1925561,Kipps Lane via Wellington & Dundas,,1,93716,68497,0,0
01,2,1925555,Kipps Lane via Wellington & Dundas,,1,93717,68498,0,0
01,2,1925562,Kipps Lane via Wellington & Dundas,,1,93713,68497,0,0
01,2,1925587,,,1,93714,68496,0,0
01,2,1925564,Kipps Lane via Wellington & Dundas,,1,93712,68498,0,0
01,2,1925568,Kipps Lane via Wellington & Dundas,,1,93711,68497,0,0
01,2,1925565,Kipps Lane via Wellington & Dundas,,1,93715,68498,0,0
01,2,1925569,Kipps Lane via Wellington & Dundas,,1,93716,68497,0,0
01,2,1925566,Kipps Lane via Wellington & Dundas,,1,93717,68498,0,0
01,2,1925570,Kipps Lane via Wellington & Dundas,,1,93713,68497,0,0
01,2,1925567,Kipps Lane via Wellington & Dundas,,1,93714,68498,0,0
01,2,1925571,Kipps Lane via Wellington & Dundas,,1,93712,68497,0,0
01,2,1925572,Kipps Lane via Wellington & Dundas,,1,93711,68498,0,0
01,2,1925576,Kipps Lane via Wellington & Dundas,,1,93715,68497,0,0
01,2,1925573,Kipps Lane via Wellington & Dundas,,1,93716,68498,0,0
01,2,1925577,Kipps Lane via Wellington & Dundas,,1,93717,68497,0,0
01,2,1925574,Kipps Lane via Wellington & Dundas,,1,93713,68498,0,0
01,2,1925578,Kipps Lane via Wellington & Dundas,,1,93714,68497,0,0
01,2,1925575,Kipps Lane via Wellington & Dundas,,1,93712,68498,0,0
01,2,1925579,Kipps Lane via Wellington & Dundas,,1,93711,68497,0,0
01,2,1925588,King edward & Thompson Only,,1,93715,68500,0,0
01,2,1925580,Kipps Lane via Wellington & Dundas,,1,93716,68498,0,0
01,2,1925589,King edward & Thompson Only,,1,93717,68500,0,0
01,2,1925584,Kipps Lane via Wellington & Dundas,,1,93713,68497,0,0
01,2,1925581,Kipps Lane via Wellington & Dundas,,1,93712,68498,0,0
01,2,1925585,Kipps Lane via Wellington & Dundas,,1,93711,68497,0,0
01,2,1925582,Kipps Lane via Wellington & Dundas,,1,93716,68498,0,0
01,2,1925586,Kipps Lane via Wellington & Dundas,,1,93713,68497,0,0
01,2,1925583,Kipps Lane via Wellington & Dundas,,1,93712,68498,0,0
01,2,1925590,Kipps Lane via Wellington & Dundas,,1,93711,68497,0,0
01,2,1925596,King edward & Thompson Only,,1,93716,68500,0,0
01,2,1925593,Kipps Lane via Wellington & Dundas,,1,93713,68498,0,0
01,2,1925591,Kipps Lane via Wellington & Dundas,,1,93712,68497,0,0
